id,urlkey,article_title,image_url,image_alt,article_url
1,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/05/BK-4013_web.jpg,Summer sunflowers with the modern architecture of Hunt Library in the background with a blue sky.,https://www.ncsu.edu/
2,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/06/LesBraves_statue_rgb.jpg,"On Omaha Beach’s shore, waves come upon Les Braves, a monument commemorating Allied troops who landed on June 6, 1944. Photograph © Tim Wright / Alamy stock photo",https://www.ncsu.edu/
3,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/05/mksustainableprotein1500.webp,One of three critically endangered red wolf pups born on the College of Veterinary Medicine's campus.,https://www.ncsu.edu/
4,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/05/graduation-friends-belltower.jpg,Three students in red graduation robes walk with arms linked outside of the Memorial Belltower.,https://www.ncsu.edu/
5,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/06/go-pack-pic-150x150.jpg,Eighteen-year-old Messiah Williams.,https://www.ncsu.edu/
6,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/05/Abby-Lampe-cheese-rolling-150x150.webp,Abby Lampe holds up two fingers and a large wheel of cheese standing on top of a hill with a crowd of people behind her.,https://www.ncsu.edu/
7,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/05/Danesha-Seth-Carley-Pinehurst-150x150.webp,Danesha Seth Carley works in a pollinator garden at the Pinehurst golf course.,https://www.ncsu.edu/
8,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/05/NC-State-Smoke-Stack-150x150.jpg,The smokestack on NC State's campus.,https://www.ncsu.edu/
9,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2023/08/Imani-Madison-STEPS.jpg,Dr. Imani Madison of the STEPS Center works with plant samples in a lab.,https://www.ncsu.edu/
10,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2023/06/juneteenth-celebration-2022.jpg,"A sticker from a Juneteenth campus celebration reads ""Together Celebrating Juneteenth.""",https://www.ncsu.edu/
11,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2022/01/campus-map-300x169.jpeg,A map of NC State's campus.,https://www.ncsu.edu/
12,"edu,ncsu)/",NC State University,https://www.ncsu.edu/wp-content/uploads/2024/06/tpacc-pyroman-still.jpg,"PyroMan, a fully instrumented, life-sized manikin used to evaluate the performance of thermal protective clothing.",https://www.ncsu.edu/
